,result,champion,kill,death,assist,dmg_dealt,dmg_taken,game_type,length,kill_percentage,average_tier,cs,cs_per_minute,items,control_wards,baron,dragon,tower
19,Derrota,Kayn,1 , 9 , 9,"11,305","40,699",Clasificatoria Solo 5vs5,33 50,C/Kill 40%,bronze 1,193,(5.7),"['Baile de la muerte', 'Poción reutilizable', 'Chupasangre', 'Botas blindadas', 'Chaleco de zarzas', 'Cristal de rubí', 'Lente del oráculo']",Control Ward 0,0,1,1
20,Victoria,Kayn,16 , 14 , 7,"45,140","63,977",Clasificatoria Solo 5vs5,47 14,C/Kill 40%,bronze 1,258,(5.5),"['Muramana', 'Colmillo de serpiente', 'Garra de merodeador', 'Rencor de Serylda', 'Botas jonias de la lucidez', 'Filo de la noche', 'Lente del oráculo']",Control Ward 0,0,4,11
21,Victoria,Kayn,19 , 3 , 5,"26,247","30,401",Clasificatoria Solo 5vs5,28 45,C/Kill 62%,silver 4,188,(6.5),"['Rencor de Serylda', 'Muramana', 'Garra de merodeador', 'Daga dentada', 'Botas jonias de la lucidez', 'Filo de la noche', 'Lente del oráculo']",Control Ward 1,0,3,11
22,Derrota,Vex,11 , 9 , 7,"32,574","30,710",Clasificatoria Solo 5vs5,38 20,C/Kill 44%,bronze 1,187,(4.9),"['Llamasombría', 'Orbe del olvido', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tempestad de Luden', 'Alternador hextech', 'Lente del oráculo']",Control Ward 4,0,3,6
23,Derrota,Zed,0 , 0 , 0,"2,048","2,874",Normal,7 35,C/Kill 0%,silver 3,28,(3.7),"['Daga dentada', 'Guardián de control', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 1,0,0,0
24,Derrota,Vex,7 , 11 , 18,"50,244","41,363",Clasificatoria Solo 5vs5,49 45,C/Kill 60%,bronze 1,254,(5.1),"['Bastón del Vacío', 'Morellonomicón', 'Reloj de arena de Zhonya', 'Tempestad de Luden', 'Botas de hechicero', 'Vara innecesariamente grande', 'Lente del oráculo']",Control Ward 4,2,2,9
25,Victoria,Zed,24 , 6 , 7,"87,919","45,626",Normal,42 54,C/Kill 56%,bronze 3,288,(6.7),"['Filoscuro de Draktharr', 'Cuchilla negra', 'Botas jonias de la lucidez', 'Hidra voraz', 'Rencor de Serylda', 'Colmillo de serpiente', 'Lente del oráculo']",Control Ward 2,0,2,11
26,Derrota,Vex,3 , 8 , 4,"25,320","22,472",Normal,31 3,C/Kill 44%,silver 3,173,(5.6),"['Anillo de Doran', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tempestad de Luden', 'Lente del oráculo']",Control Ward 2,0,1,5
27,Derrota,Kayn,5 , 4 , 8,"17,287","44,650",Normal,33 37,C/Kill 48%,bronze 2,161,(4.8),"['Poción reutilizable', 'Botas blindadas', 'Chupasangre', 'Baile de la muerte', 'Malla de espinas', 'Espada larga', 'Lente del oráculo']",Control Ward 1,1,0,5
28,Derrota,Zed,6 , 9 , 5,"18,238","22,362",Normal,33 32,C/Kill 79%,silver 2,195,(5.8),"['Eclipse', 'Poción reutilizable', 'Botas de mercurio', 'Hidra voraz', 'Colmillo de serpiente', 'Daga dentada', 'Lente del oráculo']",Control Ward 2,0,0,2
29,Derrota,Zed,15 , 6 , 8,"35,116","31,788",Normal,37 34,C/Kill 64%,silver 1,223,(5.9),"['Eclipse', 'Botas jonias de la lucidez', 'Rencor de Serylda', 'Hidra voraz', 'Colmillo de serpiente', 'Cuchilla negra', 'Lente del oráculo']",Control Ward 2,2,3,3
30,Derrota,Kayn,9 , 8 , 5,"22,054","38,145",Normal,33 53,C/Kill 67%,silver 3,248,(7.3),"['Muramana', 'Rencor de Serylda', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Filo de la noche', 'Lente del oráculo']",Control Ward 1,0,1,6
31,Victoria,Zed,9 , 3 , 16,"15,779","12,710",Normal,24 4,C/Kill 57%,silver 3,126,(5.2),"['Botas jonias de la lucidez', 'Eclipse', 'Poción reutilizable', 'Hidra voraz', 'Espada larga', 'Espada larga', 'Lente del oráculo']",Control Ward 2,0,1,7
32,Derrota,Kayn,4 , 12 , 11,"18,405","50,468",Normal,37 5,C/Kill 31%,silver 4,153,(4.1),"['Baile de la muerte', 'Espada larga', 'Chupasangre', 'Botas blindadas', 'Martillo de guerra de Caulfield', 'Gema avivadora', 'Lente del oráculo']",Control Ward 3,0,1,3
33,Victoria,Kayn,3 , 0 , 4,"7,596","13,804",Normal,16 8,C/Kill 41%,silver 3,84,(5.2),"['Brote de Brincamontes', 'Martillo de guerra de Caulfield', 'Látigo puntahierro', 'Botas', 'Gema avivadora', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 1,0,1,3
34,Victoria,Zed,14 , 1 , 3,"29,062","15,408",Normal,30 15,C/Kill 50%,bronze 1,166,(5.5),"['Filoscuro de Draktharr', 'Botas de mercurio', 'Poción reutilizable', 'Hidra voraz', 'Cuchilla negra', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 4,1,3,6
35,Derrota,Zed,8 , 8 , 10,"41,957","31,988",Clasificatoria Solo 5vs5,38 8,C/Kill 60%,bronze 1,195,(5.1),"['Filoscuro de Draktharr', 'Botas jonias de la lucidez', 'Colmillo de serpiente', 'Hidra voraz', 'Cuchilla negra', 'Lente del oráculo']",Control Ward 3,0,3,4
36,Victoria,Vi,10 , 2 , 9,"16,732","19,776",Clasificatoria Solo 5vs5,28 23,C/Kill 59%,bronze 2,161,(5.7),"['Baile de la muerte', 'Poción reutilizable', 'Botas de mercurio', 'Eclipse', 'Espada larga', 'Lente del oráculo']",Control Ward 4,1,4,11
37,Rehacer,Kayn,0 , 0 , 0,0,68,Clasificatoria Solo 5vs5,1 45,C/Kill 0%,bronze 1,4,(2.3),"['Cría de Caminabrisas', 'Poción de vida', 'Lente del oráculo']",Control Ward 0,1,3,7
38,Victoria,Vi,8 , 4 , 8,"17,233","20,912",Clasificatoria Solo 5vs5,29 27,C/Kill 48%,silver 4,176,(6),"['Baile de la muerte', 'Eclipse', 'Poción reutilizable', 'Botas de mercurio', 'Cuchilla negra', 'Lente del oráculo']",Control Ward 2,0,3,1
39,Derrota,Zed,8 , 8 , 7,"24,532","24,980",Clasificatoria Solo 5vs5,33 54,C/Kill 63%,silver 4,199,(5.9),"['Filoscuro de Draktharr', 'Hidra voraz', 'Filo fantasmal de Youmuu', 'Botas jonias de la lucidez', 'Martillo de guerra de Caulfield', 'Espada larga', 'Lente del oráculo']",Control Ward 2,0,1,6
40,Derrota,Zed,6 , 6 , 3,"22,367","20,556",Normal,32 21,C/Kill 33%,silver 3,168,(5.2),"['Filoscuro de Draktharr', 'Poción reutilizable', 'Hidra voraz', 'Botas de mercurio', 'Daga dentada', 'Pico', 'Lente del oráculo']",Control Ward 1,1,3,11
41,Victoria,Kayn,20 , 7 , 9,"41,234","40,264",Normal,35 9,C/Kill 69%,bronze 1,220,(6.3),"['Rencor de Serylda', 'Muramana', 'Garra de merodeador', 'Botas de movilidad', 'Arco axiomático', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 1,0,2,1
42,Victoria,Zed,4 , 2 , 2,"7,553","6,473",Normal,16 11,C/Kill 33%,silver 3,95,(5.9),"['Botas', 'Poción reutilizable', 'Garra de merodeador', 'Manto de anulación de magia', 'Lente del oráculo']",Control Ward 1,0,1,2
43,Derrota,Zed,9 , 8 , 6,"25,484","22,345",Normal,31 25,C/Kill 63%,silver 1,165,(5.3),"['Hidra voraz', 'Mecanoespada punki', 'Garra de merodeador', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 3,0,0,0
44,Derrota,Fizz,4 , 8 , 11,"12,068","17,241",ARAM,19 35,C/Kill 52%,silver 3,35,(1.8),"['Tempestad de Luden', 'Botas jonias de la lucidez', 'Reloj de arena de Zhonya', 'Llamasombría', 'Tomo amplificador', 'Snack para poros']",Control Ward 0,0,2,5
45,Derrota,Zed,6 , 7 , 15,"19,056","24,996",Normal,32 58,C/Kill 58%,silver 3,153,(4.6),"['Filoscuro de Draktharr', 'Botas de mercurio', 'Poción reutilizable', 'Hidra voraz', 'Martillo de guerra de Caulfield', 'Últimas palabras', 'Lente del oráculo']",Control Ward 2,0,2,4
46,Derrota,Vex,3 , 10 , 8,"24,289","24,857",Normal,34 39,C/Kill 44%,bronze 1,163,(4.7),"['Orbe del olvido', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Alternador hextech', 'Botas de hechicero', 'Lente del oráculo']",Control Ward 3,1,2,8
47,Victoria,Kayn,7 , 9 , 4,"13,355","30,476",Normal,27 37,C/Kill 31%,bronze 2,166,(6),"['Muramana', 'Poción reutilizable', 'Garra de merodeador', 'Daga dentada', 'Botas jonias de la lucidez', 'Espada larga', 'Lente del oráculo']",Control Ward 1,0,0,0
48,Derrota,Zed,3 , 5 , 0,"5,448","10,034",Normal,15 17,C/Kill 100%,bronze 1,79,(5.2),"['Eclipse', 'Poción reutilizable', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 3,1,4,9
49,Victoria,Kayn,16 , 6 , 4,"43,515","55,460",Normal,41 20,C/Kill 43%,bronze 2,324,(7.8),"['Muramana', 'Botas jonias de la lucidez', 'Garra de merodeador', 'Arco axiomático', 'Filo de la noche', 'Rencor de Serylda', 'Lente del oráculo']",Control Ward 2,0,0,2
50,Derrota,Kayn,6 , 8 , 4,"15,262","35,288",Normal,32 55,C/Kill 40%,bronze 1,174,(5.3),"['Muramana', 'Filo de la noche', 'Garra de merodeador', 'Poción reutilizable', 'Botas jonias de la lucidez', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 1,0,3,10
51,Victoria,Zed,7 , 10 , 11,"35,308","36,833",Normal,45 9,C/Kill 42%,silver 1,307,(6.8),"['Eclipse', 'Botas de mercurio', 'Hidra voraz', 'Rencor de Serylda', 'Cuchilla negra', 'Sorbemaleficios', 'Lente del oráculo']",Control Ward 2,0,3,5
52,Derrota,Zed,10 , 10 , 7,"25,287","26,867",Normal,37 35,C/Kill 52%,silver 4,151,(4),"['Eclipse', 'Poción reutilizable', 'Filo fantasmal de Youmuu', 'Botas jonias de la lucidez', 'Mecanoespada punki', 'Últimas palabras', 'Lente del oráculo']",Control Ward 1,0,1,1
53,Victoria,Kayn,1 , 0 , 1,"3,387","12,348",Normal,15 23,C/Kill 13%,silver 1,85,(5.5),"['Brote de Brincamontes', 'Chupasangre', 'Ojo del Heraldo']",Control Ward 0,0,1,3
54,Derrota,Zed,9 , 6 , 8,"29,696","31,849",Normal,37 12,C/Kill 61%,bronze 1,239,(6.4),"['Filo fantasmal de Youmuu', 'Hidra voraz', 'Garra de merodeador', 'Colmillo de serpiente', 'Botas jonias de la lucidez', 'Espada larga', 'Lente del oráculo']",Control Ward 2,0,2,4
55,Victoria,Zed,5 , 2 , 3,"10,223","8,522",Normal,18 11,C/Kill 40%,silver 4,117,(6.4),"['Botas jonias de la lucidez', 'Poción reutilizable', 'Garra de merodeador', 'Daga dentada', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 2,0,0,4
56,Victoria,Kalista,12 , 10 , 23,"30,543","29,340",ARAM,19 55,C/Kill 54%,silver 3,80,(4),"['Arcoescudo inmortal', 'Grebas de berserker', 'Últimas palabras', 'Hoja del rey arruinado', 'Hoja de furia de Guinsoo', 'Huracán de Runaan', 'Snack para poros']",Control Ward 0,0,0,4
57,Victoria,Katarina,10 , 13 , 18,"26,911","31,501",ARAM,22 34,C/Kill 42%,bronze 1,41,(1.8),"['Diente de Nashor', 'Botas de hechicero', 'Reloj de arena de Zhonya', 'Creagrietas', 'Poción reutilizable', 'Bastón del Vacío', 'Snack para poros']",Control Ward 0,0,0,0
58,Derrota,Zed,3 , 4 , 2,"8,846","11,093",Normal,19 50,C/Kill 29%,silver 4,103,(5.2),"['Eclipse', 'Botas de mercurio', 'Poción reutilizable', 'Pico', 'Lente del oráculo']",Control Ward 2,0,1,0
59,Derrota,Zed,4 , 6 , 4,"12,859","15,193",Normal,26 52,C/Kill 53%,bronze 1,146,(5.4),"['Hidra voraz', 'Poción reutilizable', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Lente del oráculo']",Control Ward 2,0,0,1
60,Rehacer,Zed,0 , 0 , 0,263,388,Normal,1 48,C/Kill 0%,bronze 1,0,(0),"['Espada larga', 'Poción de vida', 'Guardián invisible']",Control Ward 0,0,2,6
61,Derrota,Kayn,1 , 8 , 2,"13,458","29,289",Normal,28 58,C/Kill 25%,silver 3,128,(4.4),"['Poción reutilizable', 'Botas blindadas', 'Garra de merodeador', 'Manamune', 'Espada larga', 'Lente del oráculo']",Control Ward 1,0,0,1
62,Victoria,Kayn,3 , 3 , 4,"6,683","19,685",Normal,17 57,C/Kill 28%,silver 1,106,(5.9),"['Poción reutilizable', 'Chupasangre', 'Botas', 'Armadura de tela', 'Lente del oráculo']",Control Ward 0,1,2,11
63,Derrota,Kayn,0 , 7 , 1,"5,486","27,408",Normal,22 40,C/Kill 33%,gold 4,106,(4.7),"['Brote de Brincamontes', 'Botas blindadas', 'Chupasangre', 'Chaleco de cadenas', 'Lente del oráculo']",Control Ward 0,0,0,4
64,Victoria,Kayn,11 , 6 , 4,"20,842","35,804",Normal,30 46,C/Kill 43%,silver 2,198,(6.4),"['Rencor de Serylda', 'Muramana', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Martillo de guerra de Caulfield', 'Daga dentada', 'Lente del oráculo']",Control Ward 0,1,1,7
65,Derrota,Zed,4 , 6 , 2,"9,800","16,645",Normal,32 5,C/Kill 40%,gold 3,161,(5),"['Colmillo de serpiente', 'Tiamat', 'Garra de merodeador', 'Botas de mercurio', 'Cetro vampírico', 'Espada larga', 'Lente del oráculo']",Control Ward 2,0,4,6
66,Victoria,Zed,9 , 9 , 9,"29,487","23,808",Normal,36 26,C/Kill 47%,silver 3,206,(5.7),"['Eclipse', 'Botas jonias de la lucidez', 'Espada larga', 'Hidra voraz', 'Colmillo de serpiente', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 1,0,2,0
67,Derrota,Zed,5 , 9 , 10,"30,275","24,743",Normal,35 31,C/Kill 54%,silver 2,163,(4.6),"['Eclipse', 'Poción reutilizable', 'Botas jonias de la lucidez', 'Hidra voraz', 'Últimas palabras', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 3,2,3,9
68,Derrota,Kayn,7 , 9 , 2,"22,538","42,699",Normal,33 0,C/Kill 82%,silver 3,195,(5.9),"['Muramana', 'Poción reutilizable', 'Garra de merodeador', 'Botas jonias de la lucidez', 'Colmillo de serpiente', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 0,0,3,6
69,Victoria,Zed,12 , 11 , 9,"34,947","39,570",Normal,45 29,C/Kill 44%,silver 3,249,(5.5),"['Eclipse', 'Filo de la noche', 'Botas de mercurio', 'Hidra voraz', 'Rencor de Serylda', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 2,1,3,11
70,Victoria,Kayn,12 , 5 , 11,"28,190","40,500",Normal,30 11,C/Kill 70%,silver 2,174,(5.8),"['Cuchilla negra', 'Baile de la muerte', 'Chupasangre', 'Botas blindadas', 'Chaleco de zarzas', 'Cinturón de gigante', 'Lente del oráculo']",Control Ward 1,0,1,4
71,Victoria,Kayn,5 , 4 , 5,"16,552","38,265",Normal,31 22,C/Kill 33%,bronze 1,202,(6.4),"['Botas blindadas', 'Baile de la muerte', 'Chupasangre', 'Martillo de guerra de Caulfield', 'Espada larga', 'Gema avivadora', 'Lente del oráculo']",Control Ward 1,0,0,1
72,Derrota,Vex,4 , 10 , 7,"20,151","25,212",Normal,31 39,C/Kill 46%,silver 4,157,(5),"['Orbe del olvido', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Tempestad de Luden', 'Alternador hextech', 'Botas de hechicero', 'Lente del oráculo']",Control Ward 3,0,0,0
73,Derrota,Vex,5 , 4 , 2,"21,823","12,116",Normal,22 56,C/Kill 88%,silver 2,126,(5.5),"['Anillo de Doran', 'Brazalete de la buscadora', 'Cronómetro estropeado', 'Tempestad de Luden', 'Botas de hechicero', 'Códice diabólico', 'Lente del oráculo']",Control Ward 3,0,0,0
74,Derrota,Caitlyn,5 , 15 , 25,"26,060","34,308",ARAM,21 24,C/Kill 48%,silver 2,82,(3.8),"['Verdugo de krakens', 'Filo infinito', 'Grebas de berserker', 'Cañón de fuego rápido', 'Cetro vampírico', 'Capa de agilidad', 'Snack para poros']",Control Ward 0,0,3,6
75,Derrota,Cassiopeia,4 , 14 , 16,"14,401","25,456",ARAM,16 7,C/Kill 47%,silver 1,23,(1.4),"['Desconsuelo de Liandry', 'Abrazo del serafín', 'Gema avivadora', 'Vara innecesariamente grande', 'Snack para poros']",Control Ward 0,0,3,1
76,Derrota,Vex,11 , 13 , 20,"57,571","41,401",Normal,45 45,C/Kill 55%,gold 4,183,(4),"['Bastón del Vacío', 'Llamasombría', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tempestad de Luden', 'Orbe del olvido', 'Lente del oráculo']",Control Ward 1,0,2,6
77,Derrota,Veigar,3 , 7 , 8,"21,031","16,764",Normal,29 46,C/Kill 46%,gold 4,128,(4.3),"['Impulso cósmico', 'Tempestad de Luden', 'Poción reutilizable', 'Botas de hechicero', 'Lente del oráculo']",Control Ward 3,0,0,3
78,Rehacer,Veigar,0 , 0 , 0,0,0,Normal,2 0,C/Kill 0%,silver 1,0,(0),[],Control Ward 0,0,0,3
79,Derrota,Zed,8 , 5 , 5,"20,713","17,106",Normal,32 52,C/Kill 54%,silver 1,141,(4.3),"['Eclipse', 'Hidra voraz', 'Martillo de guerra de Caulfield', 'Botas jonias de la lucidez', 'Espada larga', 'Espada larga', 'Lente del oráculo']",Control Ward 3,0,0,1
80,Victoria,Fizz,13 , 10 , 26,"28,897","21,672",ARAM,18 53,C/Kill 61%,silver 3,18,(1),"['Tempestad de Luden', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Llamasombría', 'Bastón del Vacío', 'Snack para poros']",Control Ward 0,0,0,4
81,Victoria,Fizz,17 , 7 , 16,"23,484","16,539",ARAM,16 18,C/Kill 65%,bronze 1,32,(2),"['Tempestad de Luden', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Llamasombría', 'Tomo amplificador', 'Snack para poros']",Control Ward 0,0,0,4
82,Derrota,Graves,3 , 11 , 14,"15,409","24,885",ARAM,20 12,C/Kill 53%,silver 1,67,(3.3),"['Eclipse', 'Botas de mercurio', 'Poción reutilizable', 'Sanguinaria', 'Recuerdos de lord Dominik', 'Snack para poros']",Control Ward 0,0,1,0
83,Victoria,Kayle,7 , 10 , 20,"15,398","27,624",ARAM,22 46,C/Kill 55%,bronze 1,107,(4.7),"['Verdugo de krakens', 'Grebas de berserker', 'Hoja de furia de Guinsoo', 'Hoja del rey arruinado', 'Sanguinaria', 'Últimas palabras', 'Snack para poros']",Control Ward 0,0,0,2
84,Victoria,Zoe,10 , 13 , 20,"29,205","27,190",ARAM,21 37,C/Kill 48%,silver 3,31,(1.4),"['Tempestad de Luden', 'Bastón del Vacío', 'Botas de hechicero', 'Precisión infalible', 'Llamasombría', 'Snack para poros']",Control Ward 0,0,1,2
85,Derrota,Kayn,3 , 6 , 1,"4,049","14,698",Normal,15 52,C/Kill 50%,silver 4,75,(4.7),"['Cría de Caminabrisas', 'Botas jonias de la lucidez', 'Garra de merodeador', 'Lágrima de la diosa', 'Espada larga', 'Lente del oráculo']",Control Ward 0,0,1,3
86,Derrota,Vex,2 , 7 , 8,"15,630","14,378",Normal,30 32,C/Kill 56%,silver 4,134,(4.4),"['Anillo de Doran', 'Brazalete de la buscadora', 'Cronómetro', 'Botas de hechicero', 'Tempestad de Luden', 'Códice diabólico', 'Lente del oráculo']",Control Ward 1,0,0,0
87,Derrota,LeBlanc,3 , 12 , 10,"11,206","30,151",Normal,31 59,C/Kill 50%,gold 4,115,(3.6),"['Cristal de rubí', 'Poción reutilizable', 'Reloj de arena de Zhonya', 'Botas de hechicero', 'Tempestad de Luden', 'Lente del oráculo']",Control Ward 5,1,1,7
88,Victoria,Vex,8 , 5 , 0,"10,808","12,968",Normal,20 5,C/Kill 36%,bronze 1,108,(5.4),"['Anillo de Doran', 'Poción reutilizable', 'Cronómetro', 'Botas jonias de la lucidez', 'Llamasombría', 'Tempestad de Luden', 'Lente del oráculo']",Control Ward 1,0,1,1
89,Derrota,Zed,5 , 8 , 5,"16,715","19,824",Normal,28 26,C/Kill 56%,gold 3,142,(5),"['Eclipse', 'Botas de mercurio', 'Hidra voraz', 'Lente del oráculo']",Control Ward 3,1,2,9
90,Victoria,Zed,6 , 5 , 6,"19,943","21,845",Normal,34 12,C/Kill 35%,gold 4,196,(5.7),"['Eclipse', 'Poción reutilizable', 'Botas de mercurio', 'Hidra voraz', 'Martillo de guerra de Caulfield', 'Últimas palabras', 'Lente del oráculo']",Control Ward 1,0,0,1
91,Victoria,Vex,2 , 0 , 0,"6,855","3,546",Normal,15 28,C/Kill 15%,silver 1,96,(6.2),"['Anillo de Doran', 'Capítulo perdido', 'Botas', 'Poción reutilizable', 'Vara explosiva', 'Lente del oráculo']",Control Ward 2,0,3,9
92,Victoria,Kayn,9 , 3 , 8,"18,675","29,478",Normal,27 24,C/Kill 59%,silver 3,129,(4.7),"['Botas blindadas', 'Baile de la muerte', 'Chupasangre', 'Cuchilla negra', 'Cristal de rubí', 'Lente del oráculo']",Control Ward 1,0,1,3
93,Derrota,Vex,4 , 6 , 3,"15,006","13,555",Normal,23 10,C/Kill 58%,silver 1,125,(5.4),"['Anillo de Doran', 'Poción reutilizable', 'Cronómetro estropeado', 'Botas de hechicero', 'Tempestad de Luden', 'Códice diabólico', 'Lente del oráculo']",Control Ward 1,1,2,9
